data_hora,data,hora,recuperados,internados,isolam_domic,obitos,confirmados,intern_uti,intern_enferm,notificados,descartados,aguard_exame
202005031900,03/05/2020,19:00,38,25,138,5,206,9,16,1012,777,29
202005021900,02/05/2020,19:00,38,24,136,5,203,9,15,994,740,51
202005011900,01/05/2020,19:00,38,24,136,5,203,9,15,979,740,36
202004301900,30/04/2020,19:00,38,22,127,4,191,8,14,941,701,49
202004291900,29/04/2020,19:00,38,18,114,3,173,7,11,862,632,57
202004281800,28/04/2020,18:00,38,17,88,3,146,7,10,832,628,58
202004271800,27/04/2020,18:00,37,14,91,3,145,4,10,776,605,26
202004261800,26/04/2020,18:00,34,13,80,3,130,4,9,765,587,48
202004251800,25/04/2020,18:00,34,13,80,3,130,4,9,749,584,35
202004241800,24/04/2020,18:00,34,13,79,2,128,4,9,734,575,31
202004231800,23/04/2020,18:00,34,12,66,2,114,3,9,698,541,43
202004221800,22/04/2020,18:00,31,16,60,2,109,3,13,669,527,33
202004211800,21/04/2020,18:00,31,11,57,2,101,1,10,652,500,51
202004201800,20/04/2020,18:00,31,11,50,2,94,1,10,619,486,39
202004191800,19/04/2020,18:00,22,19,50,2,93,3,16,616,485,38
202004181800,18/04/2020,18:00,22,16,46,2,86,3,13,596,447,63
202004171830,17/04/2020,18:30,22,14,47,2,85,3,11,558,418,55
202004161830,16/04/2020,18:30,22,,,2,73,,,537,403,61
202004151800,15/04/2020,18:00,22,,,2,70,,,488,394,24
202004141800,14/04/2020,18:00,22,,,2,64,,,473,384,25
202004131800,13/04/2020,18:00,20,,,2,59,,,463,378,26
202004121800,12/04/2020,18:00,19,,,2,54,,,426,337,35
202004111800,11/04/2020,18:00,19,,,1,54,,,426,337,35
202004101800,10/04/2020,18:00,13,,,1,51,,,426,314,61
202004091800,09/04/2020,18:00,13,,,1,51,,,410,312,46
202004081800,08/04/2020,18:00,13,,,1,48,,,382,292,42
202004071800,07/04/2020,18:00,13,,,1,43,,,372,275,54
202004061800,06/04/2020,18:00,13,,,1,40,,,356,250,66
202004051800,05/04/2020,18:00,12,,,1,33,,,326,216,77
202004041800,04/04/2020,18:00,12,,,1,23,,,315,189,103
202004031730,03/04/2020,17:30,12,,,1,20,,,306,179,107
202004021800,02/04/2020,18:00,11,,,1,19,,,294,176,99
202004011800,01/04/2020,18:00,10,,,1,18,,,259,173,68
202003311800,31/03/2020,18:00,8,,,1,15,,,248,167,66
202003302045,30/03/2020,20:45,,,,1,15,,,219,159,45
202003291730,29/03/2020,17:30,,,,0,10,,,208,136,62
202003281730,28/03/2020,17:30,,,,0,10,,,204,136,58
202003271700,27/03/2020,17:00,,,,0,10,,,191,136,45
202003261800,26/03/2020,18:00,,,,0,8,,,176,134,34
202003251800,25/03/2020,18:00,,,,0,7,,,169,130,32
202003241800,24/03/2020,18:00,,,,0,4,,,162,116,42
202003231800,23/03/2020,18:00,,,,0,4,,,155,102,49
202003221800,22/03/2020,18:00,,,,0,4,,,145,76,65
202003211800,21/03/2020,18:00,,,,0,4,,,145,72,69
202003201800,20/03/2020,18:00,,,,0,3,,,143,72,68
202003191800,19/03/2020,18:00,,,,0,2,,,129,70,57
202003181736,18/03/2020,17:36,,,,0,1,,,109,48,60
202003171730,17/03/2020,17:30,,,,0,1,,,87,36,50
